0,1,2,3,4,5,6
实体,属性,值,出处,原文,页码,标题
paleoclimate and paleoceanographic studies,present,opportunities to study the dynamics of the climate system,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dy­ namics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components gen­ erate climate oscillations and abrupt changes. Of note is the amplified recent warm­ ing of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circula­ tion in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 Preliminary Report
climate system,responds to,external forcing,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dy­ namics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components gen­ erate climate oscillations and abrupt changes. Of note is the amplified recent warm­ ing of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circula­ tion in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 Preliminary Report
external forcing,includes,greenhouse gas and solar radiation changes,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dy­ namics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components gen­ erate climate oscillations and abrupt changes. Of note is the amplified recent warm­ ing of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circula­ tion in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 Preliminary Report
climate system,generates,climate oscillations and abrupt changes,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dy­ namics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components gen­ erate climate oscillations and abrupt changes. Of note is the amplified recent warm­ ing of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circula­ tion in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 Preliminary Report
high latitudes in the Northern Hemisphere,experience,amplified recent warming,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dy­ namics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components gen­ erate climate oscillations and abrupt changes. Of note is the amplified recent warm­ ing of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circula­ tion in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 Preliminary Report
amplified recent warming,is related to,sea ice albedo feedback and teleconnections to other regions,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dy­ namics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components gen­ erate climate oscillations and abrupt changes. Of note is the amplified recent warm­ ing of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circula­ tion in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 Preliminary Report
sea ice–climate interactions,can be studied with,geologic records of past climate change in the Bering Sea,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dy­ namics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components gen­ erate climate oscillations and abrupt changes. Of note is the amplified recent warm­ ing of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circula­ tion in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 Preliminary Report
large-scale atmospheric and oceanic circulation,plays a role in,climate change,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dy­ namics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components gen­ erate climate oscillations and abrupt changes. Of note is the amplified recent warm­ ing of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circula­ tion in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 Preliminary Report
geologic records of past climate change in the Bering Sea,can be used to study,the role of large-scale atmospheric and oceanic circulation in climate change,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dy­ namics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components gen­ erate climate oscillations and abrupt changes. Of note is the amplified recent warm­ ing of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circula­ tion in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 Preliminary Report
global climate,evolved from,being warm with only small Northern Hemisphere glaciers,Abstract,"Over the last 5 m.y., global climate has evolved from being warm with only small Northern Hemisphere glaciers to being cold with major Northern Hemisphere glaci­ ations every 100–40 k.y. The ultimate reasons for this major transition are unknown. Over the last hundreds of thousands of years, Milankovitch- and millennial-scale cli­ mate oscillations have occurred. Although the regional environmental changes re­ flected in the sediment are known in some regions, the mechanisms by which they propagate globally are not understood. Possible mechanisms responsible for both the long-term evolution of global climate as well as the generation of high-frequency cli­ mate oscillations involve processes such as intermediate water ventilation and sea ice formation in the North Pacific. However, the paucity of data in critical regions of the Pacific such as the Bering Sea has prevented an evaluation of the role of North Pacific processes in global climate change. Because North Pacific Intermediate Water (NPIW) has the potential to be influenced by dense water forming in the Bering Sea and be­ cause of the potential far-field impacts of sea ice, the Bering Sea may be critically in­ volved in causing major climate changes. Thus, drilling in the Bering Sea may help answer questions not only about the global extent of climate trends and oscillations but about the mechanisms that produce them.",1,Expedition 323 Preliminary Report
global climate,evolved to,being cold with major Northern Hemisphere glaciations every 100–40 k.y.,Abstract,"Over the last 5 m.y., global climate has evolved from being warm with only small Northern Hemisphere glaciers to being cold with major Northern Hemisphere glaci­ ations every 100–40 k.y. The ultimate reasons for this major transition are unknown. Over the last hundreds of thousands of years, Milankovitch- and millennial-scale cli­ mate oscillations have occurred. Although the regional environmental changes re­ flected in the sediment are known in some regions, the mechanisms by which they propagate globally are not understood. Possible mechanisms responsible for both the long-term evolution of global climate as well as the generation of high-frequency cli­ mate oscillations involve processes such as intermediate water ventilation and sea ice formation in the North Pacific. However, the paucity of data in critical regions of the Pacific such as the Bering Sea has prevented an evaluation of the role of North Pacific processes in global climate change. Because North Pacific Intermediate Water (NPIW) has the potential to be influenced by dense water forming in the Bering Sea and be­ cause of the potential far-field impacts of sea ice, the Bering Sea may be critically in­ volved in causing major climate changes. Thus, drilling in the Bering Sea may help answer questions not only about the global extent of climate trends and oscillations but about the mechanisms that produce them.",1,Expedition 323 Preliminary Report
Milankovitch- and millennial-scale climate oscillations,occurred,over the last hundreds of thousands of years,Abstract,"Over the last 5 m.y., global climate has evolved from being warm with only small Northern Hemisphere glaciers to being cold with major Northern Hemisphere glaci­ ations every 100–40 k.y. The ultimate reasons for this major transition are unknown. Over the last hundreds of thousands of years, Milankovitch- and millennial-scale cli­ mate oscillations have occurred. Although the regional environmental changes re­ flected in the sediment are known in some regions, the mechanisms by which they propagate globally are not understood. Possible mechanisms responsible for both the long-term evolution of global climate as well as the generation of high-frequency cli­ mate oscillations involve processes such as intermediate water ventilation and sea ice formation in the North Pacific. However, the paucity of data in critical regions of the Pacific such as the Bering Sea has prevented an evaluation of the role of North Pacific processes in global climate change. Because North Pacific Intermediate Water (NPIW) has the potential to be influenced by dense water forming in the Bering Sea and be­ cause of the potential far-field impacts of sea ice, the Bering Sea may be critically in­ volved in causing major climate changes. Thus, drilling in the Bering Sea may help answer questions not only about the global extent of climate trends and oscillations but about the mechanisms that produce them.",1,Expedition 323 Preliminary Report
regional environmental changes,reflected in,sediment,Abstract,"Over the last 5 m.y., global climate has evolved from being warm with only small Northern Hemisphere glaciers to being cold with major Northern Hemisphere glaci­ ations every 100–40 k.y. The ultimate reasons for this major transition are unknown. Over the last hundreds of thousands of years, Milankovitch- and millennial-scale cli­ mate oscillations have occurred. Although the regional environmental changes re­ flected in the sediment are known in some regions, the mechanisms by which they propagate globally are not understood. Possible mechanisms responsible for both the long-term evolution of global climate as well as the generation of high-frequency cli­ mate oscillations involve processes such as intermediate water ventilation and sea ice formation in the North Pacific. However, the paucity of data in critical regions of the Pacific such as the Bering Sea has prevented an evaluation of the role of North Pacific processes in global climate change. Because North Pacific Intermediate Water (NPIW) has the potential to be influenced by dense water forming in the Bering Sea and be­ cause of the potential far-field impacts of sea ice, the Bering Sea may be critically in­ volved in causing major climate changes. Thus, drilling in the Bering Sea may help answer questions not only about the global extent of climate trends and oscillations but about the mechanisms that produce them.",1,Expedition 323 Preliminary Report
mechanisms,involve,processes such as intermediate water ventilation and sea ice formation in the North Pacific,Abstract,"Over the last 5 m.y., global climate has evolved from being warm with only small Northern Hemisphere glaciers to being cold with major Northern Hemisphere glaci­ ations every 100–40 k.y. The ultimate reasons for this major transition are unknown. Over the last hundreds of thousands of years, Milankovitch- and millennial-scale cli­ mate oscillations have occurred. Although the regional environmental changes re­ flected in the sediment are known in some regions, the mechanisms by which they propagate globally are not understood. Possible mechanisms responsible for both the long-term evolution of global climate as well as the generation of high-frequency cli­ mate oscillations involve processes such as intermediate water ventilation and sea ice formation in the North Pacific. However, the paucity of data in critical regions of the Pacific such as the Bering Sea has prevented an evaluation of the role of North Pacific processes in global climate change. Because North Pacific Intermediate Water (NPIW) has the potential to be influenced by dense water forming in the Bering Sea and be­ cause of the potential far-field impacts of sea ice, the Bering Sea may be critically in­ volved in causing major climate changes. Thus, drilling in the Bering Sea may help answer questions not only about the global extent of climate trends and oscillations but about the mechanisms that produce them.",1,Expedition 323 Preliminary Report
data,prevented,an evaluation of the role of North Pacific processes in global climate change,Abstract,"Over the last 5 m.y., global climate has evolved from being warm with only small Northern Hemisphere glaciers to being cold with major Northern Hemisphere glaci­ ations every 100–40 k.y. The ultimate reasons for this major transition are unknown. Over the last hundreds of thousands of years, Milankovitch- and millennial-scale cli­ mate oscillations have occurred. Although the regional environmental changes re­ flected in the sediment are known in some regions, the mechanisms by which they propagate globally are not understood. Possible mechanisms responsible for both the long-term evolution of global climate as well as the generation of high-frequency cli­ mate oscillations involve processes such as intermediate water ventilation and sea ice formation in the North Pacific. However, the paucity of data in critical regions of the Pacific such as the Bering Sea has prevented an evaluation of the role of North Pacific processes in global climate change. Because North Pacific Intermediate Water (NPIW) has the potential to be influenced by dense water forming in the Bering Sea and be­ cause of the potential far-field impacts of sea ice, the Bering Sea may be critically in­ volved in causing major climate changes. Thus, drilling in the Bering Sea may help answer questions not only about the global extent of climate trends and oscillations but about the mechanisms that produce them.",1,Expedition 323 Preliminary Report
North Pacific Intermediate Water (NPIW),has the potential to be influenced by,dense water forming in the Bering Sea,Abstract,"Over the last 5 m.y., global climate has evolved from being warm with only small Northern Hemisphere glaciers to being cold with major Northern Hemisphere glaci­ ations every 100–40 k.y. The ultimate reasons for this major transition are unknown. Over the last hundreds of thousands of years, Milankovitch- and millennial-scale cli­ mate oscillations have occurred. Although the regional environmental changes re­ flected in the sediment are known in some regions, the mechanisms by which they propagate globally are not understood. Possible mechanisms responsible for both the long-term evolution of global climate as well as the generation of high-frequency cli­ mate oscillations involve processes such as intermediate water ventilation and sea ice formation in the North Pacific. However, the paucity of data in critical regions of the Pacific such as the Bering Sea has prevented an evaluation of the role of North Pacific processes in global climate change. Because North Pacific Intermediate Water (NPIW) has the potential to be influenced by dense water forming in the Bering Sea and be­ cause of the potential far-field impacts of sea ice, the Bering Sea may be critically in­ volved in causing major climate changes. Thus, drilling in the Bering Sea may help answer questions not only about the global extent of climate trends and oscillations but about the mechanisms that produce them.",1,Expedition 323 Preliminary Report
sea ice,has,potential far-field impacts,Abstract,"Over the last 5 m.y., global climate has evolved from being warm with only small Northern Hemisphere glaciers to being cold with major Northern Hemisphere glaci­ ations every 100–40 k.y. The ultimate reasons for this major transition are unknown. Over the last hundreds of thousands of years, Milankovitch- and millennial-scale cli­ mate oscillations have occurred. Although the regional environmental changes re­ flected in the sediment are known in some regions, the mechanisms by which they propagate globally are not understood. Possible mechanisms responsible for both the long-term evolution of global climate as well as the generation of high-frequency cli­ mate oscillations involve processes such as intermediate water ventilation and sea ice formation in the North Pacific. However, the paucity of data in critical regions of the Pacific such as the Bering Sea has prevented an evaluation of the role of North Pacific processes in global climate change. Because North Pacific Intermediate Water (NPIW) has the potential to be influenced by dense water forming in the Bering Sea and be­ cause of the potential far-field impacts of sea ice, the Bering Sea may be critically in­ volved in causing major climate changes. Thus, drilling in the Bering Sea may help answer questions not only about the global extent of climate trends and oscillations but about the mechanisms that produce them.",1,Expedition 323 Preliminary Report
drilling in the Bering Sea,may help answer questions,about the global extent of climate trends and oscillations and the mechanisms that produce them,Abstract,"Over the last 5 m.y., global climate has evolved from being warm with only small Northern Hemisphere glaciers to being cold with major Northern Hemisphere glaci­ ations every 100–40 k.y. The ultimate reasons for this major transition are unknown. Over the last hundreds of thousands of years, Milankovitch- and millennial-scale cli­ mate oscillations have occurred. Although the regional environmental changes re­ flected in the sediment are known in some regions, the mechanisms by which they propagate globally are not understood. Possible mechanisms responsible for both the long-term evolution of global climate as well as the generation of high-frequency cli­ mate oscillations involve processes such as intermediate water ventilation and sea ice formation in the North Pacific. However, the paucity of data in critical regions of the Pacific such as the Bering Sea has prevented an evaluation of the role of North Pacific processes in global climate change. Because North Pacific Intermediate Water (NPIW) has the potential to be influenced by dense water forming in the Bering Sea and be­ cause of the potential far-field impacts of sea ice, the Bering Sea may be critically in­ volved in causing major climate changes. Thus, drilling in the Bering Sea may help answer questions not only about the global extent of climate trends and oscillations but about the mechanisms that produce them.",1,Expedition 323 Preliminary Report
Bering Sea,has,important sedimentary records of past climate change,Abstract,"In addition to having important sedimentary records of past climate change, the Ber­ ing Sea is also a region of relatively high surface productivity, elevated intermediate and deepwater nutrient concentrations, and, presumably, microbial-mediated bio­ geochemical cycling. Thus, Integrated Ocean Drilling Program (IODP) Expedition 323 was also dedicated to examining subseafloor biomass and microbial processes in highproductivity regions for the first time.",1,Expedition 323 Preliminary Report
Bering Sea,is,a region of relatively high surface productivity,Abstract,"In addition to having important sedimentary records of past climate change, the Ber­ ing Sea is also a region of relatively high surface productivity, elevated intermediate and deepwater nutrient concentrations, and, presumably, microbial-mediated bio­ geochemical cycling. Thus, Integrated Ocean Drilling Program (IODP) Expedition 323 was also dedicated to examining subseafloor biomass and microbial processes in highproductivity regions for the first time.",1,Expedition 323 Preliminary Report
Integrated Ocean Drilling Program (IODP) Expedition 323,was dedicated to,examining subseafloor biomass and microbial processes in high-productivity regions,Abstract,"In addition to having important sedimentary records of past climate change, the Ber­ ing Sea is also a region of relatively high surface productivity, elevated intermediate and deepwater nutrient concentrations, and, presumably, microbial-mediated bio­ geochemical cycling. Thus, Integrated Ocean Drilling Program (IODP) Expedition 323 was also dedicated to examining subseafloor biomass and microbial processes in highproductivity regions for the first time.",1,Expedition 323 Preliminary Report
Expedition 323,study,dynamics of the climate system,Abstract,The major objectives of Expedition 323 in the Bering Sea are,1,Expedition 323 Preliminary Report
Expedition 323,examine,response to external forcing,Abstract,The major objectives of Expedition 323 in the Bering Sea are,1,Expedition 323 Preliminary Report
Expedition 323,generate,climate oscillations and abrupt changes,Abstract,The major objectives of Expedition 323 in the Bering Sea are,1,Expedition 323 Preliminary Report
