0,1,2,3,4,5,6
实体,属性,值,出处,原文,页码,标题
hotspot tracks,provide,important records of plate motions,Abstract,"Hotspot tracks (chains of seamounts, ridges, and other volcanic structures) provide important records of plate motions, as well as mantle geodynamics, magma flux, and mantle source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent and complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are often simple, nearly linear chains of seamounts, the TGW track is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots). The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just before it splits into two to three chains of ridge- and guyot-type seamounts. Walvis Ridge, forming the older part of the track, is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province, to collect igneous rocks to better understand the formation of volcanic edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 summary
Tristan-Gough-Walvis Ridge (TGW) hotspot track,extends,from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province,Abstract,"Hotspot tracks (chains of seamounts, ridges, and other volcanic structures) provide important records of plate motions, as well as mantle geodynamics, magma flux, and mantle source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent and complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are often simple, nearly linear chains of seamounts, the TGW track is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots). The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just before it splits into two to three chains of ridge- and guyot-type seamounts. Walvis Ridge, forming the older part of the track, is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province, to collect igneous rocks to better understand the formation of volcanic edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 summary
Tristan-Gough-Walvis Ridge (TGW) hotspot track,displays,a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My),Abstract,"Hotspot tracks (chains of seamounts, ridges, and other volcanic structures) provide important records of plate motions, as well as mantle geodynamics, magma flux, and mantle source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent and complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are often simple, nearly linear chains of seamounts, the TGW track is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots). The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just before it splits into two to three chains of ridge- and guyot-type seamounts. Walvis Ridge, forming the older part of the track, is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province, to collect igneous rocks to better understand the formation of volcanic edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 summary
Tristan-Gough-Walvis Ridge (TGW) track,is,"alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots)",Abstract,"Hotspot tracks (chains of seamounts, ridges, and other volcanic structures) provide important records of plate motions, as well as mantle geodynamics, magma flux, and mantle source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent and complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are often simple, nearly linear chains of seamounts, the TGW track is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots). The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just before it splits into two to three chains of ridge- and guyot-type seamounts. Walvis Ridge, forming the older part of the track, is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province, to collect igneous rocks to better understand the formation of volcanic edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 summary
Tristan-Gough-Walvis Ridge (TGW) track,displays,isotopic zonation over the last \~70 My,Abstract,"Hotspot tracks (chains of seamounts, ridges, and other volcanic structures) provide important records of plate motions, as well as mantle geodynamics, magma flux, and mantle source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent and complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are often simple, nearly linear chains of seamounts, the TGW track is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots). The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just before it splits into two to three chains of ridge- and guyot-type seamounts. Walvis Ridge, forming the older part of the track, is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province, to collect igneous rocks to better understand the formation of volcanic edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 summary
Walvis Ridge,is,the older part of the Tristan-Gough-Walvis Ridge (TGW) track,Abstract,"Hotspot tracks (chains of seamounts, ridges, and other volcanic structures) provide important records of plate motions, as well as mantle geodynamics, magma flux, and mantle source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent and complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are often simple, nearly linear chains of seamounts, the TGW track is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots). The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just before it splits into two to three chains of ridge- and guyot-type seamounts. Walvis Ridge, forming the older part of the track, is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province, to collect igneous rocks to better understand the formation of volcanic edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 summary
late-stage volcanism,was emplaced,\~30–40 My after the initial eruptions,Abstract,"Hotspot tracks (chains of seamounts, ridges, and other volcanic structures) provide important records of plate motions, as well as mantle geodynamics, magma flux, and mantle source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent and complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are often simple, nearly linear chains of seamounts, the TGW track is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots). The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just before it splits into two to three chains of ridge- and guyot-type seamounts. Walvis Ridge, forming the older part of the track, is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province, to collect igneous rocks to better understand the formation of volcanic edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 summary
late-stage volcanism,has,a distinct isotopic composition,Abstract,"Hotspot tracks (chains of seamounts, ridges, and other volcanic structures) provide important records of plate motions, as well as mantle geodynamics, magma flux, and mantle source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent and complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are often simple, nearly linear chains of seamounts, the TGW track is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots). The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just before it splits into two to three chains of ridge- and guyot-type seamounts. Walvis Ridge, forming the older part of the track, is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province, to collect igneous rocks to better understand the formation of volcanic edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 summary
Expedition 391,planned to drill,"at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province",Abstract,"Hotspot tracks (chains of seamounts, ridges, and other volcanic structures) provide important records of plate motions, as well as mantle geodynamics, magma flux, and mantle source compositions. The Tristan-Gough-Walvis Ridge (TGW) hotspot track, extending from the active volcanic islands of Tristan da Cunha and Gough through a province of guyots and then along Walvis Ridge to the Etendeka flood basalt province, forms one of the most prominent and complex global hotspot tracks. The TGW hotspot track displays a tight linear age progression in which ages increase from the islands to the flood basalts (covering \~135 My). Unlike Pacific tracks, which are often simple, nearly linear chains of seamounts, the TGW track is alternately a steep-sided narrow ridge, an oceanic plateau, subparallel linear ridges and chains of seamounts (most are flat-topped guyots). The track displays isotopic zonation over the last \~70 My. The zonation appears near the middle of the track just before it splits into two to three chains of ridge- and guyot-type seamounts. Walvis Ridge, forming the older part of the track, is also overprinted with age-progressive late-stage volcanism, which was emplaced \~30–40 My after the initial eruptions and has a distinct isotopic composition. The plan for Expedition 391 was to drill at six sites, three along Walvis Ridge and three in the seamounts of the Guyot Province, to collect igneous rocks to better understand the formation of volcanic edifices, the temporal and geochemical evolution of the hotspot, and the variation in paleolatitudes at which the volcanic edifices formed.",1,Expedition 391 summary
