0,1,2,3,4,5,6
实体,属性,值,出处,原文,页码,标题
paleoclimate and paleoceanographic studies,present,opportunities to study the dynamics of the climate system,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dynamics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components generate climate oscillations and abrupt changes. Of note is the amplified recent warming of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circulation in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 summary
climate system,responds to,external forcing,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dynamics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components generate climate oscillations and abrupt changes. Of note is the amplified recent warming of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circulation in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 summary
external forcing,includes,greenhouse gas and solar radiation changes,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dynamics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components generate climate oscillations and abrupt changes. Of note is the amplified recent warming of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circulation in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 summary
climate system,generates,climate oscillations and abrupt changes,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dynamics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components generate climate oscillations and abrupt changes. Of note is the amplified recent warming of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circulation in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 summary
high latitudes in the Northern Hemisphere,experience,amplified recent warming,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dynamics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components generate climate oscillations and abrupt changes. Of note is the amplified recent warming of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circulation in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 summary
amplified recent warming,is related to,sea ice albedo feedback and teleconnections to other regions,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dynamics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components generate climate oscillations and abrupt changes. Of note is the amplified recent warming of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circulation in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 summary
sea ice–climate interactions,can be studied with,geologic records of past climate change in the Bering Sea,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dynamics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components generate climate oscillations and abrupt changes. Of note is the amplified recent warming of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circulation in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 summary
large-scale atmospheric and oceanic circulation,plays a role in,climate change,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dynamics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components generate climate oscillations and abrupt changes. Of note is the amplified recent warming of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circulation in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 summary
geologic records of past climate change in the Bering Sea,can be used to study,the role of large-scale atmospheric and oceanic circulation in climate change,Abstract,"Paleoclimate and paleoceanographic studies present opportunities to study the dynamics of the climate system by examining how it responds to external forcing (e.g., greenhouse gas and solar radiation changes) and how its interacting components generate climate oscillations and abrupt changes. Of note is the amplified recent warming of the high latitudes in the Northern Hemisphere, which is presumably related to sea ice albedo feedback and teleconnections to other regions; both the behavior of sea ice–climate interactions and the role of large-scale atmospheric and oceanic circulation in climate change can be studied with geologic records of past climate change in the Bering Sea.",1,Expedition 323 summary
